"filename", "language", "Rust", "comment", "blank", "total"
"/home/lind/gits/KVStore/benches/engine_bench.rs", "Rust", 74, 0, 3, 77
"/home/lind/gits/KVStore/src/bin/kv-client.rs", "Rust", 90, 0, 5, 95
"/home/lind/gits/KVStore/src/bin/kv-server.rs", "Rust", 84, 1, 10, 95
"/home/lind/gits/KVStore/src/client.rs", "Rust", 47, 5, 5, 57
"/home/lind/gits/KVStore/src/common.rs", "Rust", 22, 0, 4, 26
"/home/lind/gits/KVStore/src/engines/kvs.rs", "Rust", 274, 65, 40, 379
"/home/lind/gits/KVStore/src/engines/mod.rs", "Rust", 10, 13, 6, 29
"/home/lind/gits/KVStore/src/engines/sled.rs", "Rust", 32, 2, 5, 39
"/home/lind/gits/KVStore/src/error.rs", "Rust", 41, 10, 6, 57
"/home/lind/gits/KVStore/src/lib.rs", "Rust", 10, 1, 1, 12
"/home/lind/gits/KVStore/src/server.rs", "Rust", 61, 3, 6, 70
"/home/lind/gits/KVStore/tests/cli.rs", "Rust", 294, 6, 37, 337
"/home/lind/gits/KVStore/tests/kv_store.rs", "Rust", 95, 10, 21, 126
"Total", "-", 1134, 116, 149, 1399
